Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,1127.699951,1155.000000,1100.050049,1102.849976,939.665161,463619
2018-04-09,1100.500000,1150.000000,1080.099976,1123.050049,956.876221,352724
2018-04-16,1125.000000,1164.000000,1118.000000,1125.550049,959.006348,324581
2018-04-23,1132.000000,1149.000000,1122.000000,1125.800049,959.219238,137822
2018-04-30,1134.400024,1134.400024,1089.199951,1093.550049,931.741211,68802
2018-05-07,1090.500000,1122.050049,1071.150024,1083.199951,922.922668,72328
2018-05-14,1082.000000,1087.949951,1030.050049,1032.849976,880.022766,157261
2018-05-21,1031.949951,1031.949951,1005.049988,1022.750000,871.417175,72650
2018-05-28,1020.000000,1098.949951,1011.000000,1029.849976,877.466675,473853
2018-06-04,1040.000000,1040.050049,987.500000,990.450012,843.896545,65197
2018-06-11,990.549988,1008.000000,949.049988,968.500000,825.194397,277116
2018-06-18,966.000000,968.500000,896.000000,914.400024,779.099426,94876
2018-06-25,910.000000,913.950012,840.000000,844.400024,719.457092,91489
2018-07-02,844.200012,878.950012,824.000000,828.750000,706.122681,61868
2018-07-09,830.000000,855.900024,818.049988,826.750000,704.418640,61318
2018-07-16,819.200012,823.799988,780.000000,785.049988,668.888916,70054
2018-07-23,780.049988,798.099976,770.049988,789.299988,672.509949,65088
2018-07-30,791.000000,990.900024,791.000000,962.849976,820.380432,607258
2018-08-06,972.500000,1013.000000,943.849976,976.799988,832.266296,164575
2018-08-13,956.849976,999.000000,925.349976,935.450012,797.034668,105863
2018-08-20,926.049988,936.900024,891.000000,895.150024,762.697815,40757
2018-08-27,925.000000,932.849976,885.000000,892.250000,760.226807,53389
2018-09-03,900.000000,938.799988,855.099976,922.000000,785.574829,144991
2018-09-10,922.000000,945.049988,900.000000,932.299988,794.350769,76045
2018-09-17,920.000000,968.150024,890.000000,905.750000,771.729248,95766
2018-09-24,912.950012,930.549988,777.000000,779.799988,664.415710,56472
2018-10-01,795.000000,827.700012,789.450012,792.200012,674.980835,45801
2018-10-08,791.000000,795.049988,755.299988,778.150024,663.009827,58323
2018-10-15,777.900024,820.450012,775.099976,779.799988,664.415710,30957
2018-10-22,780.000000,783.849976,740.000000,746.450012,636.000366,33784
2018-10-29,750.000000,769.000000,740.049988,756.650024,644.691101,94952
2018-11-05,759.000000,948.000000,752.849976,919.900024,783.785583,593163
2018-11-12,935.000000,938.900024,820.599976,824.500000,702.501587,275607
2018-11-19,833.500000,840.000000,794.000000,796.849976,678.942810,85631
2018-11-26,805.000000,865.000000,777.000000,790.299988,673.362061,121807
2018-12-03,789.000000,799.000000,759.000000,761.700012,648.993896,47277
